record_manager,company,phone,address1,city,state,zipcode,website,industry,company_email
Stitch Mitchell,strategy3degrees.com,,621 Pacific Ave Suite 107,Tacoma,WA,98402,strategy3degrees.com,,
Deanna Sigel,Stratocent Technologies,(206) 429-8760,8618 N183rd St,Kirkland,WA,98034,https://www.stratocent.com/,Computers / Technology,jim@stratocent.com
House,Summit Everett,(425) 349-0131,2820 Rucker Avenue,Everett,WA,98201,summiteverett.com,,
House,Sun Mountain Lodge,,209 Castle Ave.,Winthrop,WA,98862,sunmountainlodge.com,,
Deanna Sigel,Sunrise Pest Management,,"1840 130th Ave NE Ste 13,",Bellevue,WA,,sunrisepest.com,,
Stitch Mitchell,Supercharge Marketing,,,,WA,,https://superchargemarketing.com/,,
Maury Eskenazi,Supra Pro Wakeboard Tour,(407) 628-4802,"460 N. Orlando Ave.,","Winter Park,",FL,32789,www.bonnier.com,,info@bonniercorp.com
Amp Harrell,SweetHome Snohomish Renovations,(425) 357-7961,,Snohomish,WA,98290,https://sweethomesnohomishrenovations.com/,Construction,
Amp Harrell,Swinomish Casino and Lodge,(360) 293-2691,12885 Casino Drive,Anacortes,WA,98221-8607,https://www.swinomishcasinoandlodge.com/,Casino / Gambling,
Maury Eskenazi,Swire Coca Cola,,1150 124th AVE NE,Bellevue WA,WA,98005,https://www.swirecc.com/,,
Deanna Sigel,Symmetria Integrative Medical,,9528 State Avenue,Marysville,WA,98270,www.symmetriamedical.com,,
Deanna Sigel,T Mobile,,2920 SE 38th Street.,Bellevue,WA,98006,t-mobile.com,,
House,Tacher Radio Reps,,2300 130TH AVE NE STE 104,Bellevue,WA,98005,tacherradioreps.com,,greg.tacher@tacherradioreps.com
Maury Eskenazi,Target Zero Kitsap,,,,WA,,,,
House,Taylor's Plumbing Solutions,(425) 330-1230,P.O. Box 1372,Lake Stevens,WA,98258,www.taylorsplumbingsolutions.com/,,
Maury Eskenazi,Team Nelson Earthwork and Utilities,,21820 87th ave se,Woodinville,WA,98072,wwwteamnelsoninc.com,,
Amp Harrell,Teamsters Local 38,,2601 Everett Ave,Everett,WA,98201,http://www.teamsters38.org/,,
Maury Eskenazi,The Colour Coach Mindful Design and Consultation,(206) 478-6159,,Everett,WA,98201,/the-colour-coach.com,,artistherapy@gmail.com
Amp Harrell,The Door House,,2710 Hewitt Ave.,Everett,WA,98201,https://thebestdoorhouse.com/,,
House,The Growler Guys,(206) 522-2337,8500 Lake City Way NE,Seattle,WA,98115,https://www.thegrowlerguys.com/locations/seattle-northeast/,,
