record_manager,company,phone,address1,city,state,zipcode,website,industry,company_email
Chuck Maylin,Live Nation,,,Everett,WA,,www.livenation.com,,
House,Living Lite,(206) 841-4876,,,WA,,www.livinglitenow.com/,,
Maury Eskenazi,Local 1576 Amalgamated Transit Union,,2810 Lombard Suite 203,Everett,WA,98201,http://www.atu1576.org,,
Maury Eskenazi,Local Liquid Arts,,,,WA,,https://localliquidarts.org,,
House,Local Roots,,23221 Edmonds Way,Edmonds,WA,98026,localrootsmarijuana.com,,
House,"Lodge Sports Grill, The",,7928 Mukilteo Speedway,Mukilteo,WA,98275,http://www.thelodgesportsgrille.com,,
Deanna Sigel,Lombardi's Italian Restaurant & Wine Bar,,1620 W Marine View Drive,Everett,WA,98201,LombardisItalian.com,,
Maury Eskenazi,Lund Faucett,,411 University Street Ste 1200,Seattle,WA,98101,,,
Deanna Sigel,Lynnwood Chamber of Commerece,,"3815 196th St SW",Lynnwood,WA,98036,lynnwoodchamber.org,,
Deanna Sigel,Lynnwood Honda,,22020 Hwy 99,Edmonds,WA,98020,www.lynnwoodhonda.com,,
Deanna Sigel,Lynnwood Rare Coins,,18411 Alderwood Mall Parkway,Lynnwood,WA,98037,https://www.bellevuerarecoins.com/tag/lynnwood/,,
Stitch Mitchell,Mainvue Homes,,,,WA,,mainvuehomes.com,,
Amp Harrell,Major League Pizza,,2811 Colby Ave,Everett,WA,98201,http://www.majorleaguepizza.com/,,
Deanna Sigel,Mammoth Burgers,,8715 271st St NW,"Stanwood,",WA,98292,mammothburgerco.com/,,
House,"Man Cave,The",,18960 sr 2 - suite 130,Monroe,WA,98272,,,
House,Manor Hardware and Construction Supply,(425) 258-1466,2814 Rucker AVE,Everett,WA,98201,manorhardware.com,,
Maury Eskenazi,Mark James for State Representative,,,Marysville,WA,,electmarkjames.com,,
Amp Harrell,Market Vineyards,,14810 NE 145th St,Woodinville,WA,,marketvineyards.com,,
Chuck Maylin,Marketron,(800) 476-7226,,,WA,,access.emarketron.com,,
Deanna Sigel,Mary Kay,,,Camano Island,WA,98282,https://www.marykay.com/lchester/en-US/,,
Amp Harrell,Maryhill Winery,,14810 NE 145th St,Woodinville,WA,98072,maryhillwinery.com,,
Chuck Maylin,Marysville Parks & Recreation,,6915 Armar Rd,Marysville,WA,98270,http://marysvillewa.gov/Index.aspx?NID=147,,
Maury Eskenazi,Marysville Toyota,(360) 386-1447,16120 Smokey Point Blvd,Marysville,WA,98271,https://www.marysvilletoyota.com/,Automotive/Aerospace,info@marysvilletoyota.com
Chuck Maylin,"Marysville, City of",(360) 363-8401,1049 State Avenue,Marysville,WA,98270,marysvillewa.gov,,info@marysvillewa.goy
Maury Eskenazi,"Massage Clinic,The",,4322 Rucker Ave,Everett,WA,98203,http://www.themassageclinic.com/,,
Amp Harrell,Master Builders Association of King and Snohomish Counties,,335 116th Avenue S.E.,Bellevue,WA,98004,https://www.mbaks.com/,,
Deanna Sigel,Masterwork Roofing,(425) 252-7226,2415 40th St,Everett,WA,98201,www.masterworkroofing.com,,
Stitch Mitchell,Matheson Media,,1024 First St. Suite 203,Snohomish,WA,98290,,,
Amp Harrell,Mattress Depot,,"1201 Everett Mall Way, Suite B",Everett,WA,98208,www.mattressdepotusa.com,,
Amp Harrell,Matvey Construction,(425) 434-5864,1912 S 146th St,Seattle,WA,98168,https://www.matveyconstruction.com/,Construction,
Deanna Sigel,Mazatlan,,1325 Pacific Avenue,Everett,WA,98201,themazatlanmex.com,,marcita3@msn.com
Chuck Maylin,McNikk LLC dba McDonald's Franchise,,2001 Everett Ave,Everett,WA,98201,,,
Deanna Sigel,McPherson Pest Control,,28812 Copper Way NW,Stanwood,WA,98292,mcphersonpestcontrol.com,,
House,McQuinn Naturopathic,(425) 905-2487,1429 Broadway,Everett,WA,98201,https://mcquinnnaturopathic.com,,DrMcQuinn@gmail.com
House,MDI Marketing,,821 West 2nd Avenue,Spokane,WA,99201,www.mdimarketing.com,,info@mdimarketing.com
Maury Eskenazi,"Media Place,The",,1485 Crestview Drive,Camano Island,WA,98282,,,mediaplace@aol.com
Chuck Maylin,Media Plus,(206) 282-5677,"160 Roy Street",Seattle,WA,98109,mediaplussea.com,,
Amp Harrell,Mercedes Benz of Seattle,,2025 Airport Way S,Seattle,WA,,www.mbseattle.com,,
House,Merrill Lynch,,"2707 Colby Avenue, Suite 1401",Everett,WA,98201,http://www.wealthmanagement.ml.com/wm/pages/custombranch.aspx?branchcode=050285,,
Deanna Sigel,MFH Construction NW,,,Camano Island,WA,98282,mfhconstructionnw.com,,
Deanna Sigel,MG Construction,,,Oak Harbor,WA,,,,mgconstructionpnw@gmail.com
Chuck Maylin,Michael's Automotive Group,(425) 455-9500,3080 148th Av SE,Bellevue,WA,98007,,,
Chuck Maylin,Mill Creek Chamber of Commerce,,13300 Bothell-Everett Hwy,Mill Creek,WA,98012,www.millcreekchamber.com,,
House,Mill Creek Retirement Community,(425) 877-7940,14905 Bothell Everett HWY,Mill Creek,WA,98012,www.happylivingbycogir.com,,
Deanna Sigel,Mill Creek Skin Laser,(425) 316-8200,"15111 Main Street, A101 & A201",Mill Creek,WA,98012,http://millcreekskinlaser.com/,,skincare@millcreekskinlaser.com
House,Mill Creek Town Center Business Association,(425) 525-4206,PO Box 12626,Mill Creek,WA,98082,https://millcreektowncenter.biz,,info@millcreektowncenter.biz
House,Mill Town Credit Union,(425) 252-5139,3102 Broadway Avenue,Everett,WA,98201,milltowncu.org,,
Chuck Maylin,Modern Home Furniture,,716 SE Everett Mall Way,Everett,WA,98208,https://www.modernhomefurniture.com/,,
Maury Eskenazi,Monroe Chamber of Commerce,,125 Lewis St. Monroe,Monroe,WA,98272,choosemonroe.com,,director@choosemonroe.com
Amp Harrell,Monroe Pizza and Pint,,349 Butler Ave,Monroe,WA,98272,https://www.monroepizzaandpints.com/,,
Amp Harrell,Mor Furniture,(360) 653-5732,17016 Twin Lakes Avenue,Marysville,WA,98271,https://www.morfurniture.com/store/smokey-point,Retail / Consumer Goods,customerservice@morfurniture.com
Deanna Sigel,Motoplex,,17900 Wa -99 #100,Lynnwood,WA,98037,https://motoplex.net/,,
House,Mountain Pacific Bank,(425) 263-3522,3732 Broadway,Everett,WA,98201,https://www.mountainpacificbank.com/,,info@mp.bank
Deanna Sigel,Mr. Handyman,(425) 292-6300,10121 Evergreen Way,Everett,WA,98204,https://www.mrhandyman.com/everett/?L=true#~P5b3J82,,https://www.mrhandyman.com/everett/?L=true#~P5b3J82
Chuck Maylin,Mukilteo Chamber of Commerce,,"4902 76th St. SW",Mukilteo,WA,98275,mukilteochamber.org,,
House,Mukilteo Chiropractic,,8004 Mukilteo Speedway Ste 1,Mukilteo,WA,98275,,,
Amp Harrell,Mukilteo Lighthouse Festival Association,,304 Lincoln Ave.,Mukilteo,WA,98275,http://mukfest.com,,
Stitch Mitchell,Museum of Flight Restoration Center & Reserve Collection,,2909 100th St. SW,Everett,WA,98204,museumofflight.org,,
