record_manager,company,phone,address1,city,state,zipcode,website,industry,company_email
House,Community Health Centers of Snohomish County,(425) 640-5544,"8609 Evergreen Way,",Everett,WA,98208,http://www.chcsno.org/,,
Amp Harrell,Community Transit,,2300 Cash Park Road,Everett,WA,98037,http://www.commtrans.org/,,
Deanna Sigel,Completely Floored,(425) 276-7929,3302 Smith Ave,Everett,WA,98201,completelyfloored.com,Retail / Consumer Goods,
Amp Harrell,Conaway Motors Inc.,,5201 Colby Avenue,Everett,WA,,http://conawaymotors.com/,,
Deanna Sigel,Consumer Cellular,,"12447 SW 69th Ave, 23",Portland,OR,97223,https://www.consumercellular.com/,,
Deanna Sigel,CO-OP Supply,(360) 659-1236,8323 State Avenue,Marysville,WA,98270,http://www.co-opsupplyinc.com,Farm/Agriculture,
House,Copacino Fujikado,(206) 467-6610,1425 4th Avenue,Seattle,WA,98101,www.copacino.com,Advertising/Marketing,
Amp Harrell,Corstone Contractors LLC,(360) 862-8316,1910 Bickford Ave,Snohomish,WA,98290,corstonellc.com,Construction,
House,Cort Party Rental,(425) 953-1444,6101 Associated Blvd,Everett,WA,98203,cortpartyrental.com,,
Maury Eskenazi,Costless Furniture,,9315 State Avenue,Marysville,WA,98270,https://www.costlesswarehouse.com/,,
Amp Harrell,Country Financial of Lynnwood,,4630 200th St SW,Lynnwood,WA,98036,https://representatives.countryfinancial.com/courtney.balza/,,
House,Courtyard by Marriott,,3003 Colby,Everett,WA,98201,,,
Maury Eskenazi,CPI Plumbing and Heating,(360) 428-5636,1900 Railroad Ave,Mt Vernon,WA,98273,http://www.cpiplumbing.com,,info@cpiplumbing.com
House,Creative Bus Sales,,"11601 Cyrus Way #101,",Mukilteo,WA,98275,http://www.creativebussales.com/,,
Deanna Sigel,Creative Media Alliance,,81 Columbia Street,Seattle,WA,98104,creativemediaalliance.com,,garyhurley@creativemediaalliance.com
Maury Eskenazi,Creative Workspace,(425) 582-2340,16825 48th ave west,Lynnwood,WA,98037,creative-workspace.com,,lynnwood@creative-workspace.com
House,Crossroad Sign,,16406 7th Pl W,Lynnwood,WA,98037,www.crossroadsign.com,,
Maury Eskenazi,Crucible Brewing,(425) 374-7293,909 SE Everett Mall Way Suite D440,Everett,WA,98208,https://dev2.cruciblebrewing.com/,,info@cruciblebrewing.com
Amp Harrell,Custom Touch Granite,(206) 571-4199,2626 119th ST SW,Everett,WA,98204,http://customtouchgranite.com/,Construction,travis@customtouchgranite.com
Amp Harrell,Customer Success by Design,,,,WA,,csbydesign.com,,
House,Dakota Drywall,(425) 931-8283,,Everett,WA,,www.dakotadrywallnw.com,,dakotadrywallnw@frontier.com
House,Dale Wagner Law,,9727 271st St Nw,Stanwood,WA,98292,,,
